index,LEAGUE,PLAYER,POS,TEAM,GAME,FP,PTS,MIN,FG,FGA,AST,TRB,DRB,ORB,BK,ST,TO,FT,FTP,FGP,DATE
217,NBA,Marquese Chriss,PF,DAL,OKC@DAL,8.5,4.2,11,1.6,3.2,0.5,3.2,2.4,0.8,0.4,0.2,0.5,0.7,0.71,0.5,2022-01-17
218,NBA,Tre Mann,PG,OKC,OKC@DAL,8.5,5.2,15,2.0,5.4,0.7,2.0,1.8,0.3,0.2,0.3,0.5,0.4,0.65,0.37,2022-01-17
219,NBA,Romeo Langford,SG,BOS,NO@BOS,8.4,4.1,17,1.6,3.6,0.5,2.4,1.8,0.5,0.5,0.7,0.3,0.4,0.65,0.44,2022-01-17
220,NBA,Matt Thomas,SG,CHI,CHI@MEM,8.4,5.3,13,1.9,4.6,0.8,1.5,1.3,0.1,0.0,0.3,0.4,0.4,0.73,0.41,2022-01-17
221,NBA,Xavier Tillman,PF,MEM,CHI@MEM,8.4,3.7,11,1.6,3.4,0.8,2.8,1.8,1.0,0.3,0.6,0.5,0.5,0.62,0.47,2022-01-17
222,NBA,Drew Eubanks,C,SA,PHO@SA,8.4,3.9,11,1.4,2.6,0.7,3.2,2.3,0.9,0.5,0.2,0.8,1.1,0.74,0.54,2022-01-17
223,NBA,Wayne Ellington,SG,LAL,UTA@LAL,8.1,5.3,16,1.8,4.3,0.7,1.2,1.1,0.1,0.1,0.5,0.4,0.2,0.81,0.42,2022-01-17
224,NBA,Dylan Windler,SF,CLE,BKN@CLE,8.0,3.5,12,1.3,3.1,1.1,2.3,1.7,0.6,0.1,0.3,0.4,0.2,0.77,0.42,2022-01-17
225,NBA,Joshua Primo,SG,SA,PHO@SA,7.8,3.9,13,1.4,3.9,1.4,1.4,1.1,0.4,0.4,0.3,0.9,0.5,0.83,0.36,2022-01-17
226,NBA,Frank Ntilikina,PG,DAL,OKC@DAL,7.7,3.8,12,1.4,3.4,1.3,1.3,1.1,0.2,0.1,0.4,0.4,0.4,0.88,0.41,2022-01-17
227,NBA,Corey Kispert,SF,WAS,PHI@WAS,7.5,4.6,15,1.6,3.5,0.6,1.6,1.3,0.4,0.2,0.2,0.4,0.6,0.9,0.46,2022-01-17
228,NBA,Timothe Luwawu,SG,ATL,MIL@ATL,7.5,4.4,14,1.5,3.7,0.6,1.7,1.5,0.2,0.1,0.4,0.4,0.6,0.83,0.41,2022-01-17
229,NBA,David Duke,PG,BKN,BKN@CLE,7.4,3.8,13,1.4,3.5,0.6,2.3,1.6,0.7,0.2,0.3,0.4,0.7,0.83,0.4,2022-01-17
230,NBA,Sterling Brown,SG,DAL,OKC@DAL,7.4,3.5,13,1.3,3.2,0.6,2.6,2.2,0.4,0.1,0.3,0.4,0.3,0.8,0.41,2022-01-17
231,NBA,Austin Reaves,SG,LAL,UTA@LAL,7.4,4.5,16,1.5,2.9,0.7,1.5,1.4,0.2,0.1,0.2,0.4,0.8,0.85,0.52,2022-01-17
232,NBA,Jose Alvarado,PG,NO,NO@BOS,7.3,2.7,9,0.9,2.6,1.4,1.1,0.8,0.3,0.1,0.8,0.2,0.5,0.64,0.35,2022-01-17
233,NBA,Justise Winslow,SF,LAC,IND@LAC,7.3,3.3,8,1.4,3.0,1.0,2.0,1.6,0.4,0.2,0.3,0.5,0.3,0.57,0.47,2022-01-17
234,NBA,Ish Smith,PG,CHA,CHA@NY,7.2,3.2,9,1.3,3.1,1.5,1.0,0.9,0.1,0.1,0.3,0.4,0.3,0.69,0.42,2022-01-17
235,NBA,Robin Lopez,C,ORL,POR@ORL,7.0,3.9,10,1.7,2.9,0.7,1.9,1,0.9,0.4,0.1,0.5,0.4,0.66,0.59,2022-01-17
236,NBA,Gary Clark,PF,NO,NO@BOS,6.7,3.0,13,1.0,2.6,0.5,2.5,1.9,0.6,0.3,0.3,0.3,0.1,0.7,0.39,2022-01-17
237,NBA,Tony Snell,SG,POR,POR@ORL,6.5,3.5,13,1.2,2.7,0.7,1.6,1.3,0.2,0.1,0.2,0.3,0.2,0.94,0.44,2022-01-17
238,NBA,Bryn Forbes,SG,SA,PHO@SA,6.4,4.4,9,1.6,3.8,0.6,0.9,0.8,0.1,0.0,0.2,0.3,0.5,0.86,0.42,2022-01-17
239,NBA,DeAndre Jordan,C,LAL,UTA@LAL,6.3,2.5,7,1.1,1.4,0.4,2.6,2,0.6,0.4,0.2,0.4,0.4,0.65,0.79,2022-01-17
240,NBA,Isaiah Joe,SG,PHI,PHI@WAS,6.2,3.5,11,1.1,3.2,0.8,1.0,0.9,0.1,0.1,0.2,0.2,0.6,0.88,0.34,2022-01-17
241,NBA,Paul Reed,PF,PHI,PHI@WAS,6.2,2.3,8,1.0,2.2,0.6,2.0,1.1,0.9,0.5,0.6,0.3,0.2,0.5,0.46,2022-01-17
242,NBA,Nick Richards,C,CHA,CHA@NY,6.1,3.4,8,1.4,2.1,0.3,1.9,1.1,0.7,0.4,0.3,0.4,0.6,0.81,0.67,2022-01-17
