index,gameId,seasonYear,League,homeTeamId,awayTeamId,startDate,startTime,status,homeScore,awayScore
336,9836,2021,standard,14,6,2021-11-24,20:00,Finished,118,113
337,9837,2021,standard,19,38,2021-11-24,20:00,Finished,113,126
338,9838,2021,standard,21,10,2021-11-24,20:00,Finished,114,93
339,9839,2021,standard,22,20,2021-11-24,20:00,Finished,113,101
340,9840,2021,standard,23,41,2021-11-24,20:00,Finished,127,102
341,9841,2021,standard,25,40,2021-11-24,20:00,Finished,104,110
342,9842,2021,standard,31,1,2021-11-24,20:30,Finished,106,124
343,9843,2021,standard,11,27,2021-11-24,22:00,Finished,116,96
344,9844,2021,standard,30,29,2021-11-24,22:00,Finished,125,121
345,9845,2021,standard,16,10,2021-11-26,15:30,Finished,107,96
346,9846,2021,standard,5,22,2021-11-26,19:00,Finished,133,115
347,9847,2021,standard,24,28,2021-11-26,19:00,Finished,97,118
348,9848,2021,standard,26,6,2021-11-26,19:00,Finished,88,123
349,9849,2021,standard,15,38,2021-11-26,20:00,Finished,114,97
350,9850,2021,standard,19,1,2021-11-26,20:00,Finished,100,132
351,9851,2021,standard,25,41,2021-11-26,20:00,Finished,99,101
352,9852,2021,standard,31,2,2021-11-26,20:30,Finished,96,88
353,9853,2021,standard,9,21,2021-11-26,21:00,Finished,109,120
354,9854,2021,standard,40,23,2021-11-26,21:00,Finished,97,98
355,9855,2021,standard,11,29,2021-11-26,22:00,Finished,118,103
356,9856,2021,standard,17,30,2021-11-26,22:30,Finished,137,141
357,9857,2021,standard,27,22,2021-11-27,18:00,Finished,120,121
358,9858,2021,standard,1,24,2021-11-27,19:30,Finished,90,99
359,9859,2021,standard,4,28,2021-11-27,19:30,Finished,107,113
360,9860,2021,standard,7,26,2021-11-27,20:00,Finished,105,92
361,9861,2021,standard,6,20,2021-11-27,20:00,Finished,104,107
362,9862,2021,standard,14,5,2021-11-27,20:00,Finished,146,143
363,9863,2021,standard,8,41,2021-11-27,20:30,Finished,114,120
364,9864,2021,standard,40,23,2021-11-27,21:00,Finished,127,105
365,9865,2021,standard,16,11,2021-11-28,15:30,Finished,90,105
366,9866,2021,standard,15,21,2021-11-28,17:00,Finished,100,118
367,9867,2021,standard,38,2,2021-11-28,18:00,Finished,97,109
368,9868,2021,standard,19,30,2021-11-28,18:00,Finished,128,101
369,9869,2021,standard,17,10,2021-11-28,21:30,Finished,110,106
370,9870,2021,standard,27,26,2021-11-29,19:00,Finished,101,96
371,9871,2021,standard,20,9,2021-11-29,19:30,Finished,111,120
372,9094,2021,standard,14,25,2021-11-29,20:00,Finished,102,89
373,9095,2021,standard,22,15,2021-11-29,20:00,Finished,100,98
374,9872,2021,standard,6,5,2021-11-29,20:00,Finished,133,119
375,9096,2021,standard,8,7,2021-11-29,20:30,Finished,96,114
376,9097,2021,standard,31,41,2021-11-29,20:30,Finished,116,99
377,9098,2021,standard,40,29,2021-11-29,21:00,Finished,129,107
378,9099,2021,standard,16,23,2021-11-29,22:30,Finished,104,123
379,9100,2021,standard,4,24,2021-11-30,19:30,Finished,112,110
380,9101,2021,standard,38,19,2021-11-30,19:30,Finished,91,98
381,9102,2021,standard,28,11,2021-11-30,22:00,Finished,104,96
382,9103,2021,standard,29,10,2021-11-30,22:00,Finished,110,92
383,9104,2021,standard,30,17,2021-11-30,22:00,Finished,92,117
384,9105,2021,standard,15,1,2021-12-01,19:00,Finished,111,114
385,9106,2021,standard,26,9,2021-12-01,19:00,Finished,108,103
386,9107,2021,standard,41,22,2021-12-01,19:00,Finished,115,107
387,9108,2021,standard,2,27,2021-12-01,19:30,Finished,88,87
388,9109,2021,standard,20,7,2021-12-01,19:30,Finished,85,111
389,9110,2021,standard,21,5,2021-12-01,20:00,Finished,127,125
390,9111,2021,standard,23,8,2021-12-01,20:00,Finished,107,139
391,9112,2021,standard,25,14,2021-12-01,20:00,Finished,110,114
392,9113,2021,standard,16,30,2021-12-01,22:30,Finished,115,124
393,9114,2021,standard,24,6,2021-12-02,19:30,Finished,115,119
394,9115,2021,standard,38,21,2021-12-02,19:30,Finished,97,93
395,9116,2021,standard,19,25,2021-12-02,20:00,Finished,152,79
396,9117,2021,standard,28,10,2021-12-02,21:00,Finished,114,103
397,9118,2021,standard,29,31,2021-12-02,22:00,Finished,83,114
398,9119,2021,standard,15,20,2021-12-03,19:00,Finished,104,113
399,9120,2021,standard,41,7,2021-12-03,19:00,Finished,101,116
400,9121,2021,standard,1,27,2021-12-03,19:30,Finished,96,98
401,9122,2021,standard,4,22,2021-12-03,19:30,Finished,110,105
402,9123,2021,standard,14,26,2021-12-03,20:00,Finished,118,116
